"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
1,1,37,23,31,29,0,37,23,31,29,1
1,2,50,10,35,25,0,50,10,35,25,1
1,3,28,32,34,26,1,34,26,28,32,1
1,4,60,0,0,60,0,60,0,0,60,1
1,5,27,33,33,27,1,33,27,27,33,1
1,6,26,34,60,0,1,60,0,26,34,1
1,7,30,30,55,5,1,55,5,30,30,1
1,8,35,25,32,28,0,35,25,32,28,1
1,9,23,37,40,20,1,40,20,23,37,1
1,10,55,5,23,37,0,55,5,23,37,1
1,11,31,29,39,21,1,39,21,31,29,1
1,12,31,29,33,27,1,33,27,31,29,1
1,13,23,37,37,23,1,37,23,23,37,1
1,14,21,39,39,21,1,39,21,21,39,1
1,15,31,29,45,15,1,45,15,31,29,1
1,16,34,26,30,30,0,34,26,30,30,1
1,17,45,15,55,5,1,55,5,45,15,1
1,18,45,15,28,32,0,45,15,28,32,1
1,19,50,10,34,26,0,50,10,34,26,1
1,20,40,20,21,39,0,40,20,21,39,1
1,21,35,25,33,27,0,35,25,33,27,1
1,22,10,50,50,10,1,50,10,10,50,1
1,23,5,55,55,5,1,55,5,5,55,1
1,24,45,15,15,45,0,45,15,15,45,1
1,25,29,31,32,28,1,32,28,29,31,1
1,26,55,5,25,35,0,55,5,25,35,1
1,27,39,21,33,27,0,39,21,33,27,1
1,28,45,15,29,31,0,45,15,29,31,1
1,29,35,25,25,35,0,35,25,25,35,1
1,30,40,20,34,26,0,40,20,34,26,1
1,31,57,3,31,29,0,57,3,31,29,1
1,32,60,0,29,31,0,60,0,29,31,1
1,33,34,26,35,25,1,35,25,34,26,1
1,34,55,5,33,27,0,55,5,33,27,1
1,35,32,28,34,26,1,34,26,32,28,1
1,36,20,40,55,5,1,55,5,20,40,1
1,37,33,27,29,31,0,33,27,29,31,1
1,38,40,20,26,34,0,40,20,26,34,1
1,39,29,31,40,20,1,40,20,29,31,1
1,40,40,20,27,33,0,40,20,27,33,1
1,41,60,0,25,35,0,60,0,25,35,1
1,42,60,0,55,5,1,60,0,55,5,0
1,43,57,3,30,30,0,57,3,30,30,1
1,44,45,15,32,28,0,45,15,32,28,1
