"part","answer","index","diff","right","TL","BL","TR","BR","rating","equity"
"1","1",1,60,"0",60,0,0,60,-1,0
"1","1",1,-60,"1",60,0,0,60,-1,0
"1","3",2,-10,"0",25,35,55,5,0.333333333333333,0.833333333333333
"1","1",2,50,"1",25,35,55,5,-1,0.166666666666667
"1","3",3,10,"0",35,25,26,34,0.333333333333333,0.833333333333333
"1","2",3,-8,"1",35,25,26,34,-0.333333333333333,0.866666666666667
"1","3",4,-4,"0",28,32,37,23,0.333333333333333,0.933333333333333
"1","3",4,14,"1",28,32,37,23,0.333333333333333,0.766666666666667
"1","3",5,8,"0",34,26,30,30,0.333333333333333,0.866666666666667
"1","4",5,0,"1",34,26,30,30,1,1
"1","4",6,0,"0",30,30,39,21,1,1
"1","3",6,18,"1",30,30,39,21,0.333333333333333,0.7
"1","3",7,0,"0",30,30,60,0,0.333333333333333,1
"1","1",7,60,"1",30,30,60,0,-1,0
"1","4",8,0,"0",30,30,45,15,1,1
"1","3",8,30,"1",30,30,45,15,0.333333333333333,0.5
"1","3",9,8,"0",34,26,33,27,0.333333333333333,0.866666666666667
"1","4",9,6,"1",34,26,33,27,1,0.9
"1","3",10,14,"0",37,23,31,29,0.333333333333333,0.766666666666667
"1","4",10,2,"1",37,23,31,29,1,0.966666666666667
"1","3",11,10,"0",35,25,32,28,0.333333333333333,0.833333333333333
"1","4",11,4,"1",35,25,32,28,1,0.933333333333333
"1","2",12,30,"0",45,15,33,27,-0.333333333333333,0.5
"1","3",12,6,"1",45,15,33,27,0.333333333333333,0.9
"1","3",13,8,"0",34,26,55,5,0.333333333333333,0.866666666666667
"1","3",13,50,"1",34,26,55,5,0.333333333333333,0.166666666666667
"1","3",14,30,"0",45,15,60,0,0.333333333333333,0.5
"1","1",14,60,"1",45,15,60,0,-1,0
"1","2",15,54,"0",57,3,21,39,-0.333333333333333,0.1
"1","3",15,-18,"1",57,3,21,39,0.333333333333333,0.7
"1","3",16,4,"0",32,28,57,3,0.333333333333333,0.933333333333333
"1","1",16,54,"1",32,28,57,3,-1,0.1
"1","1",17,50,"0",55,5,15,45,-1,0.166666666666667
"1","1",17,-30,"1",55,5,15,45,-1,0.5
"1","3",18,6,"0",33,27,27,33,0.333333333333333,0.9
"1","3",18,-6,"1",33,27,27,33,0.333333333333333,0.9
"2","1",1,60,"0",60,0,0,60,-1,0
"2","1",1,-60,"1",60,0,0,60,-1,0
"2","3",2,-10,"0",25,35,55,5,0.333333333333333,0.833333333333333
"2","2",2,50,"1",25,35,55,5,-0.333333333333333,0.166666666666667
"2","3",3,10,"0",35,25,26,34,0.333333333333333,0.833333333333333
"2","3",3,-8,"1",35,25,26,34,0.333333333333333,0.866666666666667
"2","4",4,-4,"0",28,32,37,23,1,0.933333333333333
"2","3",4,14,"1",28,32,37,23,0.333333333333333,0.766666666666667
"2","3",5,8,"0",34,26,30,30,0.333333333333333,0.866666666666667
"2","4",5,0,"1",34,26,30,30,1,1
"2","4",6,0,"0",30,30,39,21,1,1
"2","3",6,18,"1",30,30,39,21,0.333333333333333,0.7
"2","4",7,0,"0",30,30,60,0,1,1
"2","1",7,60,"1",30,30,60,0,-1,0
"2","4",8,0,"0",30,30,45,15,1,1
"2","2",8,30,"1",30,30,45,15,-0.333333333333333,0.5
"2","4",9,8,"0",34,26,33,27,1,0.866666666666667
"2","4",9,6,"1",34,26,33,27,1,0.9
"2","3",10,14,"0",37,23,31,29,0.333333333333333,0.766666666666667
"2","4",10,2,"1",37,23,31,29,1,0.966666666666667
"2","3",11,10,"0",35,25,32,28,0.333333333333333,0.833333333333333
"2","3",11,4,"1",35,25,32,28,0.333333333333333,0.933333333333333
"2","2",12,30,"0",45,15,33,27,-0.333333333333333,0.5
"2","3",12,6,"1",45,15,33,27,0.333333333333333,0.9
"2","4",13,8,"0",34,26,55,5,1,0.866666666666667
"2","1",13,50,"1",34,26,55,5,-1,0.166666666666667
"2","2",14,30,"0",45,15,60,0,-0.333333333333333,0.5
"2","1",14,60,"1",45,15,60,0,-1,0
"2","1",15,54,"0",57,3,21,39,-1,0.1
"2","3",15,-18,"1",57,3,21,39,0.333333333333333,0.7
"2","4",16,4,"0",32,28,57,3,1,0.933333333333333
"2","2",16,54,"1",32,28,57,3,-0.333333333333333,0.1
"2","2",17,50,"0",55,5,15,45,-0.333333333333333,0.166666666666667
"2","2",17,-30,"1",55,5,15,45,-0.333333333333333,0.5
